conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
1,TLS_AES_256_GCM_SHA384,X25519,50990.00,3960.00,382.00,341.00,4089.00
2,TLS_AES_256_GCM_SHA384,X25519,44560.00,321.00,483.00,184.00,1409.00
3,TLS_AES_256_GCM_SHA384,X25519,45041.00,306.00,477.00,134.00,1505.00
4,TLS_AES_256_GCM_SHA384,X25519,44801.00,203.00,384.00,120.00,1398.00
5,TLS_AES_256_GCM_SHA384,X25519,43797.00,259.00,397.00,113.00,1304.00
6,TLS_AES_256_GCM_SHA384,X25519,44226.00,197.00,375.00,106.00,875.00
7,TLS_AES_256_GCM_SHA384,X25519,44590.00,301.00,433.00,193.00,1181.00
8,TLS_AES_256_GCM_SHA384,X25519,44970.00,320.00,514.00,145.00,1347.00
9,TLS_AES_256_GCM_SHA384,X25519,44887.00,343.00,417.00,121.00,1396.00
10,TLS_AES_256_GCM_SHA384,X25519,44621.00,202.00,457.00,121.00,1856.00
11,TLS_AES_256_GCM_SHA384,X25519,44146.00,449.00,367.00,116.00,1300.00
12,TLS_AES_256_GCM_SHA384,X25519,44728.00,252.00,441.00,202.00,1634.00
13,TLS_AES_256_GCM_SHA384,X25519,44330.00,194.00,346.00,102.00,937.00
14,TLS_AES_256_GCM_SHA384,X25519,44646.00,304.00,432.00,178.00,1105.00
15,TLS_AES_256_GCM_SHA384,X25519,44774.00,411.00,381.00,127.00,1275.00
16,TLS_AES_256_GCM_SHA384,X25519,44875.00,288.00,591.00,151.00,1112.00
17,TLS_AES_256_GCM_SHA384,X25519,44589.00,307.00,369.00,123.00,1066.00
18,TLS_AES_256_GCM_SHA384,X25519,44735.00,283.00,599.00,154.00,1163.00
19,TLS_AES_256_GCM_SHA384,X25519,44807.00,276.00,482.00,178.00,1616.00
20,TLS_AES_256_GCM_SHA384,X25519,44415.00,278.00,517.00,150.00,1324.00
21,TLS_AES_256_GCM_SHA384,X25519,44214.00,214.00,433.00,124.00,1186.00
22,TLS_AES_256_GCM_SHA384,X25519,44916.00,252.00,424.00,136.00,1375.00
23,TLS_AES_256_GCM_SHA384,X25519,45408.00,377.00,555.00,148.00,1466.00
24,TLS_AES_256_GCM_SHA384,X25519,45065.00,235.00,424.00,135.00,1298.00
25,TLS_AES_256_GCM_SHA384,X25519,44588.00,280.00,481.00,148.00,1376.00
26,TLS_AES_256_GCM_SHA384,X25519,43874.00,290.00,468.00,136.00,1297.00
27,TLS_AES_256_GCM_SHA384,X25519,43885.00,205.00,437.00,124.00,1215.00
28,TLS_AES_256_GCM_SHA384,X25519,44249.00,206.00,447.00,136.00,1222.00
29,TLS_AES_256_GCM_SHA384,X25519,46009.00,450.00,464.00,179.00,1198.00
30,TLS_AES_256_GCM_SHA384,X25519,46019.00,410.00,586.00,151.00,1575.00
31,TLS_AES_256_GCM_SHA384,X25519,45395.00,287.00,510.00,149.00,1521.00
32,TLS_AES_256_GCM_SHA384,X25519,44586.00,354.00,590.00,151.00,1415.00
33,TLS_AES_256_GCM_SHA384,X25519,45033.00,252.00,533.00,149.00,1428.00
34,TLS_AES_256_GCM_SHA384,X25519,45000.00,357.00,600.00,164.00,1414.00
35,TLS_AES_256_GCM_SHA384,X25519,45638.00,589.00,485.00,182.00,1375.00
36,TLS_AES_256_GCM_SHA384,X25519,45064.00,345.00,740.00,156.00,1439.00
