conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
1,TLS_AES_256_GCM_SHA384,ML-KEM-512,130667.00,0.00,214.00,373.00,84298.00
2,TLS_AES_256_GCM_SHA384,ML-KEM-512,127812.00,0.00,248.00,210.00,84118.00
3,TLS_AES_256_GCM_SHA384,ML-KEM-512,125531.00,0.00,186.00,200.00,82868.00
4,TLS_AES_256_GCM_SHA384,ML-KEM-512,125842.00,0.00,234.00,173.00,83572.00
5,TLS_AES_256_GCM_SHA384,ML-KEM-512,126836.00,0.00,170.00,155.00,83321.00
6,TLS_AES_256_GCM_SHA384,ML-KEM-512,126074.00,0.00,145.00,134.00,83290.00
7,TLS_AES_256_GCM_SHA384,ML-KEM-512,124895.00,0.00,151.00,145.00,82944.00
8,TLS_AES_256_GCM_SHA384,ML-KEM-512,125428.00,0.00,184.00,197.00,82010.00
9,TLS_AES_256_GCM_SHA384,ML-KEM-512,126515.00,0.00,227.00,235.00,82646.00
10,TLS_AES_256_GCM_SHA384,ML-KEM-512,127031.00,1.00,236.00,224.00,82967.00
11,TLS_AES_256_GCM_SHA384,ML-KEM-512,126056.00,0.00,177.00,163.00,83190.00
12,TLS_AES_256_GCM_SHA384,ML-KEM-512,126290.00,0.00,189.00,167.00,83559.00
13,TLS_AES_256_GCM_SHA384,ML-KEM-512,126187.00,0.00,163.00,141.00,83373.00
14,TLS_AES_256_GCM_SHA384,ML-KEM-512,129619.00,0.00,208.00,130.00,83352.00
15,TLS_AES_256_GCM_SHA384,ML-KEM-512,125477.00,0.00,160.00,181.00,82731.00
16,TLS_AES_256_GCM_SHA384,ML-KEM-512,127338.00,0.00,193.00,212.00,83868.00
17,TLS_AES_256_GCM_SHA384,ML-KEM-512,125580.00,0.00,230.00,163.00,82701.00
18,TLS_AES_256_GCM_SHA384,ML-KEM-512,126799.00,1.00,159.00,143.00,83405.00
19,TLS_AES_256_GCM_SHA384,ML-KEM-512,125657.00,0.00,361.00,164.00,82944.00
