conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
1,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,260331.00,0.00,1272.00,110.00,52677.00
2,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,365190.00,1.00,246.00,42.00,44865.00
3,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,252627.00,0.00,243.00,44.00,45437.00
4,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,361859.00,0.00,227.00,39.00,45312.00
5,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,415978.00,0.00,237.00,40.00,45158.00
6,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,220756.00,0.00,214.00,39.00,45803.00
7,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,359597.00,0.00,255.00,44.00,45710.00
8,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,286095.00,0.00,225.00,41.00,45313.00
9,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,256945.00,0.00,316.00,51.00,46272.00
10,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,180868.00,0.00,229.00,39.00,44898.00
11,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,424563.00,0.00,239.00,39.00,44945.00
12,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,539109.00,0.00,222.00,40.00,45360.00
13,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,562758.00,0.00,224.00,41.00,45506.00
14,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,288875.00,0.00,246.00,45.00,44844.00
15,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,393437.00,0.00,245.00,42.00,46269.00
16,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,374000.00,0.00,244.00,41.00,45257.00
17,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,763991.00,0.00,508.00,167.00,54124.00
18,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,460618.00,0.00,348.00,44.00,46838.00
19,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,202198.00,1.00,406.00,82.00,50903.00
20,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,453868.00,0.00,685.00,96.00,45151.00
21,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,310969.00,0.00,515.00,72.00,46303.00
22,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,232738.00,0.00,270.00,48.00,45732.00
23,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,222036.00,0.00,244.00,46.00,45979.00
24,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,256972.00,0.00,262.00,66.00,44960.00
25,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,300839.00,0.00,721.00,154.00,44981.00
26,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,322954.00,0.00,231.00,64.00,45110.00
27,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,453869.00,0.00,521.00,83.00,45569.00
28,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,554002.00,0.00,294.00,54.00,44701.00
29,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,150316.00,0.00,319.00,42.00,45945.00
30,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,501219.00,0.00,230.00,40.00,45252.00
31,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,365612.00,0.00,347.00,204.00,45040.00
32,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,168778.00,0.00,326.00,51.00,46233.00
33,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,283091.00,0.00,222.00,41.00,45876.00
34,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,338605.00,0.00,229.00,42.00,45344.00
35,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,139069.00,0.00,231.00,43.00,45791.00
36,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,162524.00,0.00,226.00,40.00,45772.00
37,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,288103.00,0.00,216.00,39.00,45878.00
38,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,400733.00,0.00,241.00,44.00,45594.00
39,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,617961.00,0.00,304.00,42.00,45934.00
40,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,214752.00,0.00,299.00,39.00,45022.00
41,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,284738.00,1.00,225.00,55.00,45245.00
42,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,163950.00,0.00,323.00,42.00,45921.00
43,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,240583.00,0.00,225.00,40.00,45345.00
44,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,168152.00,0.00,290.00,45.00,45880.00
45,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,166917.00,0.00,225.00,58.00,45262.00
46,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,573679.00,0.00,223.00,40.00,45321.00
47,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,200806.00,0.00,220.00,39.00,45795.00
48,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,350794.00,1.00,222.00,39.00,45317.00
49,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,360873.00,0.00,229.00,39.00,45428.00
50,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,260102.00,0.00,266.00,41.00,45107.00
51,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,230575.00,0.00,222.00,41.00,45548.00
52,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,207033.00,0.00,221.00,41.00,45444.00
53,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,313808.00,0.00,231.00,40.00,45607.00
54,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,318809.00,1.00,231.00,41.00,45707.00
55,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,479607.00,0.00,286.00,39.00,45519.00
56,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,434068.00,0.00,295.00,41.00,45705.00
57,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,313894.00,0.00,236.00,42.00,45155.00
58,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,332404.00,0.00,215.00,39.00,45408.00
59,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,603402.00,0.00,310.00,39.00,44737.00
60,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,314826.00,0.00,240.00,39.00,44576.00
61,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,361742.00,1.00,316.00,49.00,45726.00
62,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,428022.00,0.00,226.00,41.00,50226.00
63,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,465666.00,0.00,317.00,50.00,45881.00
64,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,199053.00,0.00,229.00,41.00,45826.00
65,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,250875.00,0.00,239.00,42.00,45502.00
66,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,320832.00,0.00,211.00,40.00,45153.00
67,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,229850.00,0.00,239.00,40.00,45072.00
68,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,401777.00,0.00,221.00,40.00,45629.00
69,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,241655.00,0.00,227.00,40.00,45449.00
70,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,364948.00,0.00,218.00,40.00,45294.00
71,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,213968.00,0.00,230.00,40.00,45104.00
72,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,340704.00,0.00,213.00,40.00,45469.00
73,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,240050.00,0.00,236.00,40.00,44961.00
74,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,142947.00,0.00,254.00,42.00,45056.00
75,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,290613.00,0.00,225.00,40.00,44797.00
76,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,366731.00,0.00,218.00,40.00,45597.00
77,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,251151.00,0.00,242.00,43.00,45077.00
78,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,207982.00,1.00,229.00,41.00,45738.00
79,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,407849.00,0.00,243.00,41.00,44816.00
80,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,283883.00,0.00,224.00,39.00,44994.00
81,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,231585.00,1.00,242.00,41.00,45598.00
82,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,361814.00,0.00,222.00,40.00,44638.00
83,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,414175.00,0.00,254.00,50.00,45860.00
